Block Size,k3a Time (s),k5 Time (s)
16,76.801171,9.212733
32,39.614254,5.117296
64,20.434097,2.831716
128,10.775748,1.675673
256,5.694094,0.907722
512,3.092524,0.524494
1024,1.664974,0.29848
2048,0.94002,0.159639
4096,0.527734,0.092484
8192,0.307616,0.059359
16384,0.219475,0.045321
32768,0.171162,0.046456
65536,0.161274,0.037729
131072,0.153688,0.037256
262144,0.154221,0.048371
524288,0.140087,0.049751
1048576,0.150798,0.049843
2097152,0.194107,0.066554
4194304,0.236068,0.177177
8388608,0.223341,0.284778
16777216,0.4454,0.39119
33554432,0.61205,0.428708
67108864,0.657577,0.551415
134217728,0.745589,0.698753
