Block Size,k2.o Static Time (s),k4.o Static Time (s),k4a.o Static Time (s),k5.o Static Time (s),k2.o Dynamic Time (s),k4.o Dynamic Time (s),k4a.o Dynamic Time (s),k5.o Dynamic Time (s)
1,12.972063,0.39253,0.358247,0.043024,11.475212,0.299999,0.273656,0.100398
2,12.170065,0.341158,0.350382,0.043124,11.957776,0.285968,0.300133,0.073665
4,12.271238,0.335895,0.392021,0.042571,12.278353,0.301831,0.339579,0.043419
8,12.327873,0.355256,0.395496,0.043079,12.223266,0.357294,0.371078,0.042737
16,12.287552,0.362028,0.416474,0.04208,12.28667,0.340279,0.415302,0.04313
32,12.375118,0.369639,0.427669,0.04307,12.38782,0.360993,0.425015,0.04312
64,12.379202,0.378106,0.415465,0.046061,12.441098,0.42387,0.372891,0.05264
128,12.162583,0.409966,0.444539,0.053153,12.393232,0.457103,0.434869,0.055793
256,12.072003,0.478894,0.494839,0.063472,12.541657,0.516101,0.500932,0.088365
512,11.968414,0.528115,0.539609,0.102449,12.128238,0.578675,0.550417,0.132868
1024,11.86092,0.56774,0.566823,0.150913,12.337622,0.630318,0.599367,0.153571
2048,11.874692,0.598602,0.600907,0.150575,12.379837,0.654874,0.622741,0.149256
4096,12.197597,0.64094,0.591972,0.15043,12.237516,0.69588,0.633037,0.149365
8192,11.888908,0.686044,0.592092,0.151701,12.159512,0.724888,0.610254,0.149186
16384,11.989059,0.703585,0.579301,0.150358,12.273976,0.734255,0.599815,0.149474
32768,12.095913,0.698661,0.581421,0.148902,12.092984,0.736418,0.594663,0.149302
65536,11.696171,0.736225,0.583011,0.150714,12.261394,0.735687,0.593813,0.149731
131072,11.708533,0.72655,0.579814,0.150954,12.350246,0.730428,0.596944,0.14794
262144,12.068392,0.70222,0.579829,0.15027,12.394352,0.719632,0.657651,0.149786
524288,11.859477,0.706037,0.587021,0.150237,12.214609,0.72154,0.603184,0.152047
